申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,單價元平方公尺,車位類別,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,建築完成年月,代表建號屋齡,代表建號層次,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,電梯,車位所在樓層,備註欄,主建物面積,附屬建物面積,陽台面積
買賣,房地(土地+建物),2,1,0,4,2,3,,透天厝,3300000,21860,,0,無,1150202,81.5,,特定農業區,甲種建築用地,150.96,住家用,鋼筋混凝土造,三層,821130,32,全,0,高雄市美濃區中興路二段４９巷１９號,美濃區,美濃段,,無,,,138.96,0,12
買賣,房地(土地+建物),1,1,0,2,2,2,,住宅大樓(11層含以上有電梯),5754000,62246,,0,有,1150204,8.1,商,,,92.44,住家用,鋼筋混凝土造,十二層,750509,40,八層,0,高雄市新興區中山一路１４號８樓之７,新興區,大統段一小段,,有,,,79.42,0,0
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,,住宅大樓(11層含以上有電梯),17280000,103411,坡道平面,0,無,1150203,16.7,住,,,167.1,住家用,鋼筋混凝土,十五層,1121106,2,三層,0,高雄市前鎮區康和路５８號三樓之１,前鎮區,鎮昌段,,有,地下三樓,,77.01,0,15.18
買賣,房地(土地+建物),1,1,0,3,2,1,,住宅大樓(11層含以上有電梯),5700000,61568,,0,有,1150204,11.32,商,,,92.58,住家用,鋼筋混凝土造,十二層,721215,42,二層,0,高雄市前鎮區一心二路３２巷１弄３號二樓,前鎮區,愛群段,,有,,鐵鋁窗增建其他增建；,68.11,0,7.7
買賣,土地,1,0,0,0,0,0,,其他,570000,25503,,0,無,1150210,22.35,都市：其他:道路用地,,,0,,,,,,,0,友情段440地號,岡山區,友情段,,無,,包含公共設施保留地用地；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,220000,28721,,0,無,1150210,7.66,都市：其他:道路用地,,,0,,,,,,,0,友情段328-1地號,岡山區,友情段,,無,,包含公共設施保留地用地；,0,0,0
買賣,房地(土地+建物),1,1,0,2,2,1,,透天厝,3500000,44315,,0,無,1150209,65.76,住,,,78.98,住商用,鋼筋混凝土加強磚造,二層,711215,43,全,0,高雄市旗山區延平一路２７５巷１８號,旗山區,中華段,,無,,頂樓加蓋；,78.98,0,0
買賣,土地,1,0,0,0,0,0,,其他,2600000,25613,,0,無,1150209,101.51,,鄉村區,乙種建築用地,0,,,,,,,0,崙港段178地號,阿蓮區,崙港段,,無,,未登記建物；,0,0,0
買賣,房地(土地+建物),1,1,0,3,1,2,,透天厝,9000000,123491,,0,無,1150203,60,住,,,72.88,住家用,加強磚造,二層,681026,46,全,0,高雄市左營區華夏路１０１９巷３６號,左營區,菜公段五小段,,無,,親友、員工、共有人或其他特殊關係間之交易；,72.88,0,0
買賣,土地,3,0,0,0,0,0,,其他,350000,4216,,0,無,1150204,83.02,,鄉村區,乙種建築用地,0,,,,,,,0,佛光段79地號,大樹區,佛光段,,無,,,0,0,0
買賣,土地,3,0,0,0,0,0,,其他,1344923,36242,,0,無,1150206,37.11,住,,,0,,,,,,,0,興農段460地號,大社區,興農段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,960000,6545,,0,無,1150207,146.67,農,,,0,,,,,,,0,王公廟段1576地號,林園區,王公廟段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,282420,40346,,0,無,1150209,7,都市：其他:道路用地,,,0,,,,,,,0,林子邊段一小段1-13地號,林園區,林子邊段一小段,,無,,包含公共設施保留地用地；,0,0,0
買賣,車位,0,1,2,0,0,0,,其他,2400000,,坡道平面,2400000,有,1150212,0,,,,44.21,,,,,16,,44.22,高雄市苓雅區民權一路６３號等共有部分,苓雅區,,,有,地下三樓,建物坐落地號：苓東段128地號；僅車位交易；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,689310,25530,,0,無,1150204,27,都市：其他:道路用地,,,0,,,,,,,0,新興段一小段2027-1地號,新興區,新興段一小段,,無,,包含公共設施保留地用地；,0,0,0
