sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
恆春,屏東縣,44,,良好,0.9,0.13,45,47,15,8,0,2.2,1.2,4.8,23,"2026/09/09 23:00:00",0.1,7.7,22,0,120.788925,21.958069,61
臺東,臺東縣,38,,良好,0.9,0.14,36,40,19,7,3,4.4,0.9,1.3,313,"2026/09/09 23:00:00",0.1,9.2,23,0,121.15045,22.755358,62
花蓮,花蓮縣,37,,良好,1.1,0.18,28,37,21,10,2,2.8,0.2,2.5,232,"2026/09/09 23:00:00",0.2,9.1,22,1,121.59977,23.971306,63
陽明,臺北市,48,,良好,1.3,0.17,50,52,22,9,0,1.1,0.5,,,"2026/09/09 23:00:00",0.1,4.5,21,1,121.52959,25.182722,64
宜蘭,宜蘭縣,45,,良好,1.1,0.13,32,39,17,10,2,2.9,0.4,1.4,303,"2026/09/09 23:00:00",0.1,11.2,18,1,121.74639,24.747917,65
冬山,宜蘭縣,37,,良好,0.1,0.17,36,40,22,8,2,2,0,1.1,272,"2026/09/09 23:00:00",0.1,7.3,22,0,121.79293,24.632202,66
三重,新北市,0,二氧化氮,普通,,0.69,21,16,28,10,24,33.8,9.7,-,-,"2026/09/09 23:00:00",0.9,11.9,24,1,121.493805,25.07261,67
中壢,桃園市,48,,良好,1.1,0.48,33,27,31,12,13,18.3,4.4,0.6,317,"2026/09/09 23:00:00",0.6,11.8,29,1,121.221664,24.953278,68
竹山,南投縣,64,細懸浮微粒,普通,1.6,0.24,28,55,27,14,5,5.7,0.6,1,350,"2026/09/09 23:00:00",0.2,17.2,31,1,120.67731,23.75639,69
永和,新北市,47,,良好,1,0.33,29,31,23,11,9,11.4,1.5,0.8,96,"2026/09/09 23:00:00",0.3,11.7,20,1,121.516304,25.017,70
復興,高雄市,51,臭氧八小時,普通,1.8,0.35,49,55,28,20,10,12.3,2,0.4,137,"2026/09/09 23:00:00",0.3,12.2,30,1,120.31202,22.608711,71
埔里,南投縣,69,細懸浮微粒,普通,1.3,0.28,31,60,32,20,5,6.6,1,0.4,217,"2026/09/09 23:00:00",0.3,19.1,33,1,120.9679,23.968842,72
馬祖,連江縣,80,臭氧八小時,普通,0.6,0.19,61,64,42,11,2,3.2,1.1,2.7,301,"2026/09/09 23:00:00",0.2,15,38,0,119.95272,26.153736,75
金門,金門縣,69,細懸浮微粒,普通,1.2,0.31,48,49,40,17,6,6.9,0.4,1,344,"2026/09/09 23:00:00",0.3,19.1,38,1,118.312256,24.432133,77
馬公,澎湖縣,54,臭氧八小時,普通,1.1,0.15,57,56,22,8,1,1.6,0.2,4.8,33,"2026/09/09 23:00:00",0.1,10,27,1,119.566154,23.56903,78
關山,臺東縣,38,,良好,2.1,0.13,35,41,17,6,0,1.3,0.5,1.8,350,"2026/09/09 23:00:00",0.1,6.1,16,1,121.161934,23.045082,80
麥寮,雲林縣,55,懸浮微粒,普通,2.1,0.25,31,49,39,15,9,9.8,0,0.9,40,"2026/09/09 23:00:00",0.1,12.6,35,1,120.25182,23.753506,83
富貴角,新北市,67,懸浮微粒,普通,0.5,0.12,55,54,48,10,0,0.4,0,3.9,64,"2026/09/09 23:00:00",0.1,9.9,45,0,121.53657,25.296818,84
大城,彰化縣,52,細懸浮微粒,普通,2.2,0.24,32,50,32,14,7,8.8,0.8,2.2,58,"2026/09/09 23:00:00",0.1,12.8,27,1,120.26964,23.85493,85
臺灣大道,臺中市,46,,良好,0.6,0.53,24,38,21,13,15,20.2,5,1.2,3,"2026/09/09 23:00:00",0.5,11.3,24,0,120.65671,24.1589,88
員林,彰化縣,47,,良好,2.6,0.26,29,48,23,9,10,10.8,0.7,0.8,25,"2026/09/09 23:00:00",0.2,10.3,28,1,120.56319,23.961594,139
林森,臺南市,57,懸浮微粒,普通,1.2,0.44,36,48,34,12,12,12.9,0.6,0.6,79,"2026/09/09 23:00:00",0.4,13,36,1,120.22216,22.985226,140
南投（鹿谷）,南投縣,97,臭氧八小時,普通,2.2,0.21,66,69,20,18,2,3,0.3,0.6,255,"2026/09/09 23:00:00",0.2,14.6,26,2,120.79448,23.718676,203
屏東（琉球）,屏東縣,51,臭氧八小時,普通,0.5,0.16,58,55,29,10,1,1.9,0.2,0.3,162,"2026/09/09 23:00:00",0.1,10.1,23,1,120.37722,22.35222,204
新北（樹林）,新北市,47,,良好,0.1,0.32,37,30,19,10,11,12.6,0.8,0.7,112,"2026/09/09 23:00:00",0.3,11.6,22,0,121.38353,24.949028,311
屏東（枋山）,屏東縣,44,,良好,0.2,0.14,35,48,14,7,1,1.8,0,2.4,91,"2026/09/09 23:00:00",0.1,8.3,19,0,120.651474,22.260899,313
